,0
0,0.0351509
1,0.8235028
2,0.0077783344
3,0.055497788
4,0.8306114
5,0.0016810264
6,0.029216744
7,0.0011609836
8,0.4151645
9,0.2730596
10,0.9950394
11,0.025123138
12,0.7348224
13,0.22083816
14,0.94070023
15,0.007623205
16,0.04693349
17,0.4741073
18,0.973969
19,0.18776488
20,0.52809876
21,0.02124753
22,0.70625365
23,0.8127068
24,0.8020604
25,0.0039886907
26,0.9331654
27,0.40459073
28,0.9835136
29,0.52857655
30,0.90667963
31,0.3713584
32,0.9913421
33,0.02903883
34,0.0020283356
35,0.96852374
36,0.4369696
37,0.0012945998
38,0.6433172
39,0.99247277
40,0.61843646
41,0.031175027
42,0.9998995
43,0.13219227
44,0.9926593
45,0.90884113
46,0.0948089
47,0.0027778137
48,0.9954007
49,0.98445475
50,0.45194903
51,0.19135241
52,0.3598189
53,0.16572414
54,0.32259944
55,0.9715356
56,0.46787095
57,0.7662675
58,0.97581375
59,0.99310994
60,0.038668178
61,0.84536725
62,0.4628127
63,0.03174219
64,0.7804733
65,0.004168983
66,0.64749295
67,0.0038736446
68,0.19302902
69,0.0022447992
70,0.99532205
71,0.7395515
72,0.73696345
73,0.98026294
74,0.24570268
75,0.9913975
76,0.005282584
77,0.8812586
78,0.04062752
79,0.92489815
80,0.93566704
81,0.96051645
82,0.17481114
83,0.0033140667
84,0.49742246
85,0.77532744
86,0.06786187
87,0.98773396
88,0.55455685
89,0.51355225
90,0.03256758
91,0.020465553
92,0.25743777
93,0.12234878
94,0.9910116
95,0.98852044
96,0.17421655
97,0.70676684
98,0.8499093
99,0.12135636
100,0.9839886
101,0.53235877
102,0.23960654
103,0.009020645
104,0.83471155
105,0.034109205
106,0.79255486
107,0.859917
108,0.026816169
109,0.28729984
110,0.74079233
111,0.27030492
112,0.8322594
113,0.0026860328
114,0.45739058
115,0.06467705
116,0.91237277
117,0.47640446
118,0.27403563
119,0.70845366
120,0.011974891
121,0.86208797
122,0.99306786
123,0.88889056
124,0.97343194
125,0.89276326
126,0.64264494
127,0.66932577
128,0.0091698915
129,0.9770811
130,0.5008384
131,0.0112123415
132,0.11791217
133,0.5645563
134,0.7736992
135,0.0071984353
136,0.20632942
137,0.0435534
138,0.9449858
139,0.9903042
140,0.9923509
141,0.98858833
142,0.062156476
143,0.0038352862
144,0.18190017
145,0.4542886
146,0.93292916
147,0.8081864
148,0.590371
149,0.22412078
150,0.9577052
151,0.85464317
152,0.98036
153,0.31701642
154,0.4424477
155,0.0062109535
156,0.5994712
157,0.80224484
158,0.9813145
159,0.77295136
160,0.004807984
161,0.107474245
162,0.81196934
163,0.9796163
164,0.5272989
165,0.87907624
166,0.0025203296
167,0.04194363
168,0.95537674
169,0.019174702
170,0.0049109627
171,0.05570571
172,0.9613288
173,0.13786204
174,0.8162267
175,0.67791736
176,0.85323733
177,0.08995167
178,0.786591
179,0.96455115
180,0.9721167
181,0.54866004
182,0.009063534
183,0.13995706
184,0.9805386
185,0.9710136
186,0.15616657
187,0.5680695
188,0.979756
189,0.1407596
190,0.86298627
191,0.5823382
192,0.0058851596
193,0.861144
194,0.78592116
195,0.9307507
196,0.12570384
197,0.034898605
198,0.022129571
199,0.9761391
200,0.11623388
201,0.89767563
202,0.98181
203,0.62171197
204,0.9851149
205,0.073248476
206,0.95486355
207,0.005541904
208,0.4236981
209,0.013769685
210,0.16727552
211,0.90567803
212,0.9129066
213,0.004543717
214,0.8142768
215,0.9575006
216,0.02637408
217,0.77350074
218,0.941152
219,0.16321224
220,0.14847343
221,0.15938167
222,0.0054117995
223,0.013017494
224,0.9834856
225,0.6737084
226,0.33604577
227,0.99191636
228,0.69016385
229,0.043698825
230,0.5705575
231,0.8562941
232,0.039164867
233,0.9821618
234,0.057470288
235,0.8698164
236,0.010788766
237,0.9292945
238,0.004037801
239,0.8875535
240,0.9707451
241,0.5963966
242,0.85408914
243,0.9433372
244,0.96946263
245,0.9537668
246,0.0044906093
247,0.089330584
248,0.8670735
249,0.27701893
250,0.01553992
251,0.051097233
252,0.8055061
253,0.5931804
254,0.57266855
255,0.9832653
256,0.13932176
257,0.13797137
258,0.997575
259,0.0031372446
260,0.7456513
261,0.55375504
262,0.9995684
263,0.22448547
264,0.09046325
265,0.004098783
266,0.28510597
267,0.7851104
268,0.13468486
269,0.03265913
270,0.08513748
271,0.97630674
272,0.18091881
273,0.9106451
274,0.07964467
275,0.8986842
276,0.15975757
277,0.88027513
278,0.04803024
279,0.83739805
280,0.123529725
281,0.9988445
282,0.16012748
283,0.8999489
284,0.28879014
285,0.017420508
286,0.17500594
287,0.42240736
288,0.20009187
289,0.21336862
290,0.24981031
291,0.8162243
292,0.13296719
293,0.0027306743
294,0.77553594
295,0.037524734
296,0.013414629
297,0.001921014
298,0.9923564
299,0.1537741
300,0.76157457
301,0.9719926
302,0.8828032
303,0.3075031
304,0.2512729
305,0.004245486
306,0.025476316
307,0.96392286
308,0.016698329
309,0.23453265
310,0.0066112643
311,0.97426313
312,0.54623634
313,0.006038698
314,0.837018
315,0.055465255
316,0.6580811
317,0.04471796
318,0.30777952
319,0.015826864
320,0.8963643
321,0.33542252
322,0.029067926
323,0.99539423
324,0.82836884
325,0.009584533
326,0.98265505
327,0.9945312
328,0.89985573
329,0.9653027
330,0.9750904
331,0.84640265
332,0.93158066
333,0.8218677
334,0.3837087
335,0.6638056
336,0.86307496
337,0.0024634872
338,0.99935406
339,0.40167347
340,0.30575365
341,0.4652016
342,0.7997907
343,0.85807955
344,0.14533526
345,0.92461574
346,0.85603297
347,0.09461539
348,0.0010902742
349,0.00059572695
350,0.061162498
351,0.96517074
352,0.008502378
353,0.7506571
354,0.97699547
355,0.23769839
356,0.26272157
357,0.753044
358,0.9238015
359,0.20737273
360,0.9962024
361,0.004615996
362,0.43859726
363,0.94038916
364,0.40163538
365,0.019536156
366,0.053551693
367,0.86013865
368,0.30926508
369,0.08041607
370,0.856741
371,0.91877735
372,0.9774319
373,0.81876487
374,0.0022838688
375,0.84471816
376,0.12366421
377,0.049618047
378,0.04662848
379,0.51135737
380,0.96691453
381,0.0050975056
382,0.42155954
383,0.33584532
384,0.5464006
385,0.16483817
386,0.0005212573
387,0.62824243
388,0.83638346
389,0.9305575
390,0.014752187
391,0.0035573465
392,0.5617391
393,0.97564983
394,0.11247979
395,0.002569438
396,0.8326995
397,0.021519126
398,0.9699109
399,0.0631139
400,0.13316333
401,0.0030071123
402,0.93006575
403,0.91427386
404,0.43383026
405,0.07790374
406,0.9707908
407,0.08749376
408,0.023996754
409,0.0010149229
410,0.9788327
411,0.058988735
412,0.012942299
413,0.58878946
414,0.95184684
415,0.3251845
416,0.99681723
417,0.04009147
418,0.93174714
419,0.025533998
420,0.96788645
421,0.58312845
422,0.84734225
423,0.005896346
424,0.95863605
425,0.6399859
426,0.94806165
427,0.26707768
428,0.006031192
429,0.2123164
430,0.67230177
431,0.039335288
432,0.9156486
433,0.23711723
434,0.8064917
435,0.026696036
436,0.9989642
437,0.90522236
438,0.08090188
439,0.26618797
440,0.9182295
441,0.16406329
442,0.9553863
443,0.092107736
444,0.20016432
445,0.4768369
446,0.962804
447,0.065937765
448,0.057299666
449,0.10751103
450,0.7976911
451,0.043709174
452,0.344374
453,0.04411274
454,0.003926438
455,0.99737525
456,0.9519482
457,0.02079863
458,0.09801649
459,0.051007483
460,0.83454853
461,0.91799015
462,0.08544726
463,0.03695827
464,0.2920186
465,0.8603496
466,0.016900647
467,0.008138731
468,0.8254443
469,0.79209757
470,0.00607156
471,0.37052208
472,0.89999974
473,0.9885006
474,0.99153626
475,0.0125142895
476,0.09777833
477,0.102956496
478,0.6141287
479,0.8745643
480,0.042066883
481,0.9931471
482,0.9422732
483,0.9470056
484,0.42748934
485,0.7140665
486,0.7168934
487,0.1701357
488,0.8417553
489,0.73425114
490,0.60372394
491,0.92673534
492,0.017737322
493,0.019185161
494,0.124941945
495,0.9653571
496,0.9834753
497,0.06625893
498,0.7316147
499,0.004483227
500,0.96438617
501,0.7868594
502,0.8216615
503,0.23569053
504,0.0024867866
505,0.8254883
506,0.021510439
507,0.008554928
508,0.0028106717
509,0.041268513
510,0.04943694
511,0.8875994
512,0.15459982
513,0.8780446
514,0.0022088585
515,0.16949548
516,0.016954066
517,0.009722221
518,0.5498099
519,0.056292653
520,0.9252249
521,0.72386456
522,0.9242087
523,0.9856192
524,0.5667127
525,0.92626244
526,0.98490083
527,0.43163434
528,0.9778049
529,0.0015304289
530,0.0016175499
531,0.003398091
532,0.00010211672
533,0.068500645
534,0.0060040224
535,0.022111451
536,0.6587227
537,0.954723
538,0.014072145
539,0.97764856
540,0.9758582
541,0.9096958
542,0.0038283987
543,0.98568475
544,0.0037460946
545,0.9798458
546,0.92910093
547,0.032366756
548,0.27729583
549,0.702793
550,0.039544005
551,0.170499
552,0.9734995
553,0.87904865
554,0.13403696
555,0.010806524
556,0.9709636
557,0.016992357
558,0.0015094012
559,0.13540336
560,0.72623533
561,0.013203317
562,0.3208844
563,0.8788338
564,0.7349434
565,0.9439007
566,0.7476017
567,0.99400085
568,0.7797072
569,0.011572561
570,0.07179657
571,0.9994087
572,0.15385382
573,0.9912349
574,0.26907974
575,0.1580737
576,0.9313287
577,0.99464583
578,0.044132654
579,0.027526427
580,0.9577026
581,0.9548601
582,0.99868375
583,0.28028464
584,0.6773285
585,0.89456713
586,0.06105094
587,0.030148065
588,0.8132268
589,0.25165942
590,0.06529986
591,0.046612266
592,0.6162064
593,0.00043188914
594,0.0122982785
595,0.99629176
596,0.012939722
597,0.9954242
598,0.80497783
599,0.5329501
600,0.21333529
601,0.40338427
602,0.02917536
603,0.94795334
604,0.054555148
605,0.015903296
606,0.8373736
607,0.43568993
608,0.9785584
609,0.8885457
610,0.27692828
611,0.069224246
612,0.023517588
613,0.18866372
614,0.8654631
615,0.96523
616,0.95456237
617,0.955716
618,0.13711713
619,0.039183117
620,0.8662184
621,0.004484781
622,0.36083072
623,0.996813
624,0.7559718
625,0.9590099
626,0.93683606
627,0.22015186
628,0.037902825
629,0.0064379014
630,0.0021205503
631,0.91344935
632,0.9730391
633,0.92706347
634,0.01996952
635,0.8462079
636,0.030061778
637,0.21501052
638,0.009351361
639,0.019333325
640,0.9788744
641,0.9830997
642,0.0061732414
643,0.88982403
644,0.8828177
645,0.71061766
646,0.45892543
647,0.052055396
648,0.9325444
649,0.83863956
650,0.057076257
651,0.038986363
652,0.4493056
653,0.93037766
654,0.74455076
655,0.0038313223
656,0.56715554
657,0.004492155
658,0.0067838435
659,0.20826761
660,0.9619595
661,0.0012818218
662,0.94958735
